transactio_id,player_id,transaction_time,transaction_type,transaction_amount,payment_method,amount
41,140,2024-05-26 03:20:11,"""deposit""",899.42,bank_transfer,
42,262,2024-05-03 02:40:20,"""withdrawal""",414.68,paypal,
43,371,2024-06-20 12:15:26,"""deposit""",817.82,paypal,
44,962,2024-07-11 10:56:59,"""withdrawal""",975.23,crypto,
45,81,2025-02-01 15:19:12,"""refund""",107.3,paypal,
46,905,2024-05-31 00:54:47,"""bonus""",38.22,paypal,
47,241,2024-12-24 03:07:45,"""withdrawal""",92.87,credit_card,
48,504,2024-07-25 05:56:07,"""deposit""",976.09,credit_card,
49,290,2025-03-27 15:46:12,"""deposit""",857.43,crypto,
50,921,2024-09-26 10:24:44,"""withdrawal""",413.57,crypto,
51,777,2024-09-21 05:32:59,"""bonus""",830.48,crypto,
52,770,2024-05-28 14:09:37,"""withdrawal""",985.13,credit_card,
53,669,2024-06-14 14:57:15,"""deposit""",695.14,credit_card,
54,336,2024-12-07 17:52:51,"""withdrawal""",232.28,paypal,
55,7,2024-08-28 17:12:45,"""deposit""",769.91,crypto,
56,334,2025-01-06 03:48:14,"""refund""",606.11,paypal,
57,192,2025-02-26 14:14:22,"""deposit""",246.17,bank_transfer,
58,44,2025-03-04 08:59:26,"""deposit""",409.44,bank_transfer,
59,969,2024-07-01 12:36:44,"""refund""",18.78,bank_transfer,
60,923,2024-04-11 04:44:56,"""refund""",527.36,credit_card,
61,892,2024-07-31 20:17:16,"""deposit""",88.4,credit_card,
62,366,2024-08-31 09:04:54,"""bonus""",470.98,paypal,
63,887,2025-04-07 05:53:28,"""withdrawal""",639.56,crypto,
64,907,2025-03-27 00:06:40,"""refund""",903.37,credit_card,
65,160,2025-01-28 10:48:57,"""deposit""",386.49,credit_card,
66,859,2024-07-11 04:00:55,"""deposit""",416.49,bank_transfer,
67,567,2024-07-02 03:42:16,"""withdrawal""",358.83,credit_card,
68,876,2025-02-09 08:05:56,"""deposit""",497.1,crypto,
69,216,2025-01-23 06:06:42,"""deposit""",106.33,credit_card,
70,922,2024-05-28 05:12:57,"""withdrawal""",436.53,bank_transfer,
71,865,2024-04-30 00:38:36,"""deposit""",363.44,paypal,
72,588,2025-02-01 09:52:45,"""bonus""",35.88,crypto,
73,230,2024-12-10 02:16:50,"""deposit""",662.02,bank_transfer,
74,586,2024-07-11 17:33:07,"""deposit""",491.44,bank_transfer,
75,490,2024-08-24 11:29:05,"""withdrawal""",514.88,crypto,
76,464,2024-05-27 13:26:40,"""deposit""",767.71,paypal,
77,586,2024-12-26 16:45:26,"""withdrawal""",834.64,bank_transfer,
78,340,2024-12-13 17:55:32,"""refund""",314.11,credit_card,
79,586,2024-05-06 19:16:23,"""deposit""",941.97,paypal,
80,513,2025-04-06 16:44:55,"""deposit""",582.06,crypto,
81,214,2024-05-14 22:36:49,"""bonus""",744.5,bank_transfer,
82,854,2024-05-19 00:22:22,"""withdrawal""",311.59,paypal,
83,350,2024-06-21 21:42:21,"""withdrawal""",947.56,credit_card,
84,693,2025-03-25 00:08:10,"""deposit""",938.66,bank_transfer,
85,980,2024-10-27 23:07:50,"""withdrawal""",2.04,credit_card,
86,13,2025-03-10 08:41:58,"""deposit""",86.79,crypto,
87,701,2024-11-06 05:47:24,"""deposit""",658.53,paypal,
88,315,2024-05-12 21:25:39,"""bonus""",833.2,paypal,
89,340,2024-11-27 09:04:21,"""withdrawal""",332.77,crypto,
90,754,2025-02-19 07:19:43,"""bonus""",182.22,bank_transfer,
91,2,2024-04-10 04:53:11,"""refund""",840.58,paypal,
92,710,2025-01-29 21:57:12,"""deposit""",401.01,paypal,
93,667,2024-05-04 02:07:49,"""bonus""",900.79,bank_transfer,
94,173,2024-07-12 07:48:43,"""deposit""",240.51,credit_card,
95,919,2025-01-27 19:06:08,"""deposit""",137.27,bank_transfer,
96,755,2025-03-13 12:54:06,"""deposit""",753.15,bank_transfer,
97,76,2024-08-29 13:52:00,"""deposit""",695.57,paypal,
98,863,2025-01-04 21:29:07,"""refund""",254.15,crypto,
99,486,2024-11-23 02:16:09,"""deposit""",140.67,crypto,
100,111,2024-05-26 09:33:11,"""withdrawal""",28.99,crypto,
101,793,2024-08-25 12:17:20,"""deposit""",520.64,credit_card,
102,247,2024-07-07 14:27:38,"""deposit""",156.48,credit_card,
103,904,2025-03-23 11:41:52,"""withdrawal""",715.94,paypal,
104,161,2025-02-13 06:45:54,"""withdrawal""",754.95,bank_transfer,
105,153,2024-10-19 03:35:41,"""bonus""",268.25,crypto,
106,187,2024-12-16 02:20:07,"""withdrawal""",962.39,paypal,
107,414,2024-05-31 10:51:23,"""withdrawal""",89.42,credit_card,
108,228,2024-10-04 12:14:02,"""deposit""",715.15,paypal,
109,380,2024-08-01 07:30:57,"""deposit""",456.58,credit_card,
110,186,2024-07-14 10:04:04,"""deposit""",308.52,crypto,
111,642,2025-02-16 10:38:46,"""deposit""",959.52,paypal,
112,531,2024-09-09 12:03:49,"""refund""",901.79,credit_card,
113,784,2024-08-16 16:55:54,"""refund""",993.07,bank_transfer,
114,576,2025-02-05 21:39:30,"""deposit""",886.72,crypto,
115,540,2024-12-22 12:00:49,"""bonus""",119.56,bank_transfer,
116,946,2024-06-04 01:13:08,"""deposit""",917.03,paypal,
117,397,2024-04-30 14:06:48,"""refund""",379.12,paypal,
118,67,2025-01-05 19:15:38,"""deposit""",687.88,credit_card,
119,441,2025-02-14 16:17:30,"""deposit""",375.87,crypto,
120,423,2024-04-13 20:44:11,"""deposit""",550.59,bank_transfer,
121,150,2024-09-06 18:31:29,"""deposit""",783.58,credit_card,
122,983,2024-07-20 00:45:32,"""bonus""",962.54,paypal,
123,627,2024-04-12 11:26:14,"""deposit""",302.35,crypto,
124,358,2024-06-12 16:08:39,"""deposit""",871.76,credit_card,
125,960,2024-10-17 06:49:27,"""withdrawal""",88.4,crypto,
126,487,2024-07-13 01:10:49,"""refund""",87.3,crypto,
127,805,2024-11-09 11:30:17,"""deposit""",614.12,credit_card,
128,721,2024-08-07 10:22:05,"""withdrawal""",465.74,bank_transfer,
129,272,2024-09-18 13:14:26,"""deposit""",645.35,crypto,
130,824,2024-08-07 10:25:26,"""bonus""",686.53,paypal,
131,830,2024-10-04 08:41:42,"""bonus""",312.07,bank_transfer,
132,263,2024-11-06 01:48:24,"""deposit""",301.11,crypto,
133,212,2024-08-07 19:08:55,"""bonus""",633.71,crypto,
134,156,2024-08-24 00:20:40,"""deposit""",958.83,bank_transfer,
135,608,2025-03-16 03:33:57,"""bonus""",436.07,bank_transfer,
136,421,2025-03-20 02:50:40,"""deposit""",624.26,crypto,
137,627,2025-01-21 12:47:40,"""deposit""",152.58,crypto,
138,188,2024-11-06 23:42:27,"""refund""",888.89,paypal,
139,997,2024-11-02 19:03:32,"""deposit""",962.08,paypal,
140,350,2024-12-09 09:22:01,"""withdrawal""",924.03,credit_card,
141,581,2024-04-28 16:57:24,"""withdrawal""",627.94,crypto,
142,557,2024-11-01 03:24:43,"""deposit""",176.11,bank_transfer,
143,606,2025-02-05 12:48:16,"""bonus""",408.87,crypto,
144,721,2025-02-05 07:04:39,"""withdrawal""",373.77,credit_card,
145,844,2024-06-26 10:22:42,"""withdrawal""",603.49,crypto,
146,252,2024-10-10 23:31:39,"""refund""",752.08,bank_transfer,
147,238,2024-11-11 13:11:50,"""withdrawal""",230.67,credit_card,
148,449,2024-05-10 21:50:52,"""deposit""",950.72,credit_card,
149,440,2024-11-28 22:55:43,"""withdrawal""",835.17,paypal,
150,401,2025-01-05 05:57:15,"""deposit""",59.71,bank_transfer,
151,389,2024-07-22 00:00:08,"""deposit""",462.86,crypto,
152,314,2024-09-29 04:22:29,"""deposit""",976.66,credit_card,
153,474,2025-01-29 00:47:08,"""deposit""",699.38,crypto,
154,516,2024-08-08 08:59:49,"""bonus""",671.97,credit_card,
155,222,2024-10-26 07:57:08,"""deposit""",886.83,crypto,
156,571,2024-11-11 19:40:19,"""bonus""",528.58,paypal,
157,762,2024-10-10 22:08:53,"""deposit""",453.84,crypto,
158,157,2024-10-22 06:36:33,"""bonus""",733.65,crypto,
159,773,2025-03-08 14:14:47,"""withdrawal""",465.61,bank_transfer,
160,963,2025-02-13 16:28:23,"""deposit""",667.55,paypal,
161,57,2025-02-07 03:11:50,"""deposit""",896.33,crypto,
162,22,2024-09-22 15:11:06,"""bonus""",296.32,paypal,
163,186,2024-10-02 03:46:45,"""deposit""",695.5,crypto,
164,903,2024-11-30 12:27:21,"""withdrawal""",774.97,crypto,
165,269,2024-10-19 15:45:30,"""withdrawal""",520.83,paypal,
166,692,2024-07-18 20:57:32,"""deposit""",592.6,crypto,
167,64,2024-07-29 22:57:23,"""withdrawal""",646.47,crypto,
168,454,2024-04-16 22:44:20,"""deposit""",430.71,paypal,
169,478,2024-10-10 08:28:43,"""bonus""",765.83,credit_card,
170,14,2024-09-17 16:20:20,"""bonus""",682.6,bank_transfer,
171,753,2024-06-24 12:18:22,"""deposit""",237.87,crypto,
172,739,2024-05-26 11:44:14,"""withdrawal""",71.62,paypal,
173,829,2024-08-29 18:18:58,"""withdrawal""",462.05,crypto,
174,730,2024-04-17 21:35:32,"""bonus""",236.61,paypal,
175,637,2025-02-27 08:24:18,"""bonus""",893.2,paypal,
176,464,2025-03-12 07:57:17,"""withdrawal""",533.59,bank_transfer,
177,364,2024-11-06 10:09:58,"""withdrawal""",467.94,paypal,
178,328,2024-07-26 15:28:19,"""withdrawal""",230.14,credit_card,
179,154,2025-03-16 17:19:44,"""deposit""",580.56,credit_card,
180,824,2025-01-19 11:22:48,"""deposit""",962.54,credit_card,
181,123,2024-08-24 22:14:52,"""deposit""",885.58,paypal,
182,42,2024-04-16 16:22:17,"""deposit""",47.08,paypal,
183,518,2024-05-14 18:48:48,"""deposit""",327.47,bank_transfer,
184,513,2024-04-12 10:21:47,"""bonus""",993.42,paypal,
185,594,2024-09-12 10:56:24,"""bonus""",466.52,credit_card,
186,866,2024-09-05 02:56:54,"""deposit""",759.36,crypto,
187,893,2025-03-02 05:28:59,"""bonus""",529.65,crypto,
188,385,2025-03-04 19:54:34,"""deposit""",912.02,paypal,
189,719,2024-12-29 14:17:09,"""bonus""",621.09,bank_transfer,
190,991,2025-03-04 18:19:21,"""withdrawal""",161.65,credit_card,
191,219,2024-07-30 04:24:36,"""deposit""",298.74,paypal,
192,455,2025-03-15 00:39:01,"""deposit""",19.42,bank_transfer,
193,918,2024-05-13 03:52:01,"""deposit""",376.49,bank_transfer,
194,557,2024-04-19 23:01:43,"""withdrawal""",481.01,credit_card,
195,917,2025-04-07 03:21:47,"""deposit""",114.63,crypto,
196,563,2024-06-19 06:46:09,"""withdrawal""",139.51,paypal,
197,604,2024-11-06 00:33:09,"""deposit""",144.93,paypal,
198,640,2024-11-08 09:51:29,"""withdrawal""",675.14,paypal,
199,45,2024-08-14 01:44:09,"""deposit""",586.48,bank_transfer,
200,610,2025-02-18 21:13:14,"""deposit""",343.57,credit_card,
201,524,2024-08-18 13:37:46,"""deposit""",613.17,bank_transfer,
202,615,2024-04-21 11:48:49,"""withdrawal""",227.81,credit_card,
203,798,2024-04-23 00:02:15,"""deposit""",769.99,credit_card,
204,651,2024-09-06 12:51:17,"""deposit""",930.31,credit_card,
205,507,2024-10-02 01:46:49,"""deposit""",103.22,crypto,
206,938,2024-12-20 12:24:10,"""deposit""",860.95,crypto,
207,149,2024-08-19 01:49:07,"""withdrawal""",196.07,paypal,
208,204,2024-04-30 22:55:03,"""bonus""",95.56,paypal,
209,233,2024-06-08 23:32:49,"""bonus""",927.95,crypto,
210,155,2025-02-25 11:53:17,"""deposit""",171.93,paypal,
211,212,2024-09-24 09:04:31,"""refund""",401.84,credit_card,
212,678,2024-12-14 11:33:55,"""deposit""",806.98,paypal,
213,157,2024-09-16 13:50:28,"""withdrawal""",481.73,bank_transfer,
214,709,2025-04-04 12:58:37,"""deposit""",83.9,credit_card,
215,567,2024-05-22 11:04:11,"""withdrawal""",334.84,paypal,
216,644,2024-07-11 21:34:42,"""bonus""",269.45,bank_transfer,
217,989,2024-06-22 22:07:16,"""withdrawal""",327.81,crypto,
218,162,2024-06-30 10:57:14,"""deposit""",499.99,paypal,
219,148,2024-05-19 18:08:17,"""deposit""",672.54,paypal,
220,132,2024-07-01 10:01:14,"""deposit""",322.0,bank_transfer,
221,393,2024-09-24 14:54:37,"""bonus""",480.28,crypto,
222,146,2025-03-08 00:55:25,"""bonus""",610.84,crypto,
223,915,2024-12-14 09:01:20,"""withdrawal""",203.05,credit_card,
224,163,2024-07-10 06:47:42,"""refund""",967.15,crypto,
225,280,2024-08-11 14:19:31,"""deposit""",601.87,bank_transfer,
226,756,2024-10-06 16:31:56,"""deposit""",643.48,paypal,
227,645,2024-09-06 11:09:11,"""bonus""",478.2,paypal,
228,602,2024-07-11 01:59:30,"""deposit""",901.78,crypto,
229,959,2024-05-07 04:19:36,"""deposit""",302.4,paypal,
230,255,2024-09-03 00:02:31,"""refund""",644.32,bank_transfer,
231,114,2025-03-06 18:59:44,"""deposit""",900.6,crypto,
232,834,2024-12-07 11:35:01,"""withdrawal""",323.07,bank_transfer,
233,893,2025-02-26 23:23:37,"""withdrawal""",311.57,credit_card,
234,556,2024-08-18 10:57:24,"""deposit""",321.83,bank_transfer,
235,248,2025-03-02 08:26:03,"""withdrawal""",830.96,credit_card,
236,79,2024-11-12 05:59:38,"""deposit""",45.56,bank_transfer,
237,477,2025-02-09 14:38:17,"""refund""",48.06,credit_card,
238,898,2024-12-17 06:07:38,"""deposit""",442.81,bank_transfer,
239,223,2024-06-12 00:37:38,"""withdrawal""",734.55,paypal,
240,522,2024-05-03 02:39:37,"""bonus""",74.12,crypto,
241,380,2024-09-01 00:20:01,"""bonus""",852.75,crypto,
242,903,2024-07-01 08:47:46,"""bonus""",393.03,credit_card,
243,183,2024-08-24 23:18:41,"""withdrawal""",893.47,credit_card,
244,623,2024-11-19 11:14:20,"""bonus""",555.23,bank_transfer,
245,178,2024-04-19 00:00:16,"""withdrawal""",273.32,crypto,
246,821,2024-07-01 07:54:12,"""deposit""",826.23,crypto,
247,1,2025-01-13 08:12:12,"""withdrawal""",275.68,credit_card,
248,679,2024-11-20 23:54:42,"""deposit""",830.01,bank_transfer,
249,717,2024-10-20 20:11:11,"""withdrawal""",712.2,paypal,
250,541,2024-05-05 05:33:27,"""refund""",85.28,bank_transfer,
251,803,2024-06-28 11:36:36,"""withdrawal""",207.8,paypal,
252,784,2024-10-12 12:37:24,"""deposit""",29.18,credit_card,
253,751,2025-02-27 04:08:13,"""deposit""",779.87,crypto,
254,236,2024-10-31 08:47:03,"""refund""",360.35,crypto,
255,544,2024-04-25 00:47:29,"""deposit""",31.65,paypal,
256,310,2024-06-21 01:55:18,"""deposit""",142.36,bank_transfer,
257,240,2024-05-07 16:29:13,"""deposit""",66.16,credit_card,
258,886,2024-10-20 20:50:07,"""refund""",633.71,bank_transfer,
259,787,2024-06-11 13:48:57,"""refund""",489.57,bank_transfer,
260,495,2025-01-10 03:56:20,"""deposit""",184.07,crypto,
261,321,2024-06-14 11:47:26,"""bonus""",760.17,credit_card,
262,17,2024-10-21 18:50:00,"""deposit""",430.52,paypal,
263,133,2024-11-22 01:15:51,"""bonus""",256.66,bank_transfer,
264,619,2024-12-17 04:41:19,"""deposit""",757.08,bank_transfer,
265,147,2024-10-01 17:15:06,"""withdrawal""",529.64,paypal,
266,26,2024-08-23 09:33:13,"""deposit""",298.26,bank_transfer,
267,550,2025-01-25 19:56:17,"""bonus""",102.11,bank_transfer,
268,418,2025-01-23 09:38:41,"""withdrawal""",381.07,bank_transfer,
269,549,2024-05-19 04:44:18,"""deposit""",637.95,crypto,
270,223,2024-07-20 02:08:26,"""withdrawal""",557.29,paypal,
271,144,2024-11-14 22:32:10,"""deposit""",845.55,crypto,
272,41,2024-07-12 08:01:26,"""withdrawal""",501.33,bank_transfer,
273,790,2024-04-14 21:33:35,"""refund""",124.22,crypto,
274,231,2024-06-14 01:35:24,"""withdrawal""",705.27,credit_card,
275,932,2024-04-17 13:10:59,"""withdrawal""",454.04,crypto,
276,582,2024-07-19 15:17:50,"""deposit""",445.23,paypal,
277,37,2025-01-16 16:08:22,"""deposit""",206.39,crypto,
278,718,2024-12-31 04:41:25,"""deposit""",750.19,paypal,
279,157,2024-07-29 05:39:20,"""deposit""",258.01,crypto,
280,272,2024-10-16 05:56:01,"""bonus""",566.37,credit_card,
281,7,2024-09-08 07:01:26,"""deposit""",309.09,credit_card,
282,651,2024-12-03 06:21:21,"""deposit""",29.16,crypto,
283,399,2024-08-06 17:08:19,"""bonus""",570.51,credit_card,
284,453,2025-02-08 13:01:16,"""deposit""",895.08,bank_transfer,
285,548,2025-03-21 13:39:27,"""withdrawal""",166.3,credit_card,
286,228,2025-02-26 17:40:47,"""deposit""",844.86,bank_transfer,
287,182,2024-06-19 11:30:30,"""deposit""",223.79,bank_transfer,
288,712,2024-07-04 13:47:01,"""bonus""",538.1,crypto,
289,604,2024-12-28 23:25:25,"""deposit""",791.82,paypal,
290,872,2025-02-08 09:49:50,"""withdrawal""",350.28,crypto,
291,199,2024-05-05 04:14:49,"""deposit""",768.32,crypto,
292,124,2024-07-31 12:01:49,"""deposit""",10.48,crypto,
293,792,2024-04-09 18:21:57,"""bonus""",325.69,bank_transfer,
294,398,2025-03-23 03:25:50,"""refund""",698.66,bank_transfer,
295,145,2024-08-21 06:39:18,"""withdrawal""",316.42,crypto,
296,339,2024-10-01 02:46:31,"""deposit""",321.41,bank_transfer,
297,742,2024-10-13 08:45:45,"""deposit""",175.04,bank_transfer,
298,574,2024-06-03 07:22:57,"""deposit""",552.89,credit_card,
299,53,2024-11-06 12:28:10,"""bonus""",722.76,paypal,
300,667,2024-07-14 10:28:59,"""deposit""",584.44,bank_transfer,
301,46,2025-02-14 16:51:37,"""bonus""",413.13,paypal,
302,789,2024-07-12 07:17:40,"""deposit""",840.51,bank_transfer,
303,607,2024-07-10 23:49:14,"""deposit""",690.0,crypto,
304,871,2024-04-27 20:37:38,"""deposit""",452.75,bank_transfer,
305,571,2025-03-15 05:20:17,"""withdrawal""",900.41,credit_card,
306,670,2025-04-07 16:51:53,"""deposit""",114.32,paypal,
307,969,2024-07-01 12:03:14,"""withdrawal""",52.64,credit_card,
308,389,2024-11-12 01:00:53,"""deposit""",768.05,paypal,
309,105,2024-12-19 07:29:33,"""deposit""",528.26,crypto,
310,673,2024-09-02 07:55:40,"""deposit""",922.33,credit_card,
311,887,2024-12-23 07:18:51,"""withdrawal""",534.43,crypto,
312,640,2025-03-28 14:06:35,"""refund""",984.04,crypto,
313,185,2024-12-19 15:23:59,"""withdrawal""",696.34,credit_card,
314,846,2025-03-20 02:33:49,"""bonus""",241.45,crypto,
315,812,2024-12-30 00:02:41,"""deposit""",11.81,bank_transfer,
316,447,2024-07-01 03:34:01,"""bonus""",346.16,credit_card,
317,146,2025-03-11 09:48:16,"""deposit""",977.01,credit_card,
318,808,2025-01-29 10:16:11,"""bonus""",281.44,bank_transfer,
319,855,2025-01-02 23:14:48,"""deposit""",731.7,bank_transfer,
320,104,2024-09-24 06:41:07,"""withdrawal""",126.88,paypal,
321,794,2024-09-11 16:24:04,"""deposit""",721.35,paypal,
322,547,2024-11-17 16:06:59,"""withdrawal""",446.07,credit_card,
323,914,2025-01-19 13:35:32,"""deposit""",121.66,credit_card,
324,710,2024-08-03 15:40:50,"""withdrawal""",301.1,paypal,
325,161,2024-07-10 19:09:46,"""deposit""",206.05,bank_transfer,
326,187,2024-11-02 16:56:05,"""deposit""",564.28,paypal,
327,295,2024-04-16 15:55:28,"""bonus""",926.54,paypal,
328,744,2024-10-09 09:28:20,"""withdrawal""",563.23,paypal,
329,93,2024-06-14 06:58:38,"""withdrawal""",845.43,bank_transfer,
330,198,2024-10-26 20:56:57,"""deposit""",337.12,paypal,
331,273,2025-01-31 04:57:42,"""deposit""",887.05,crypto,
332,666,2024-05-01 22:06:00,"""withdrawal""",894.29,crypto,
333,174,2025-01-07 08:39:17,"""withdrawal""",781.72,crypto,
334,334,2024-04-30 08:34:53,"""refund""",922.43,paypal,
335,527,2024-09-26 14:50:59,"""deposit""",432.96,bank_transfer,
336,325,2025-02-17 06:29:02,"""bonus""",384.4,bank_transfer,
337,157,2024-09-25 06:50:21,"""deposit""",667.15,credit_card,
338,200,2025-01-13 00:18:13,"""deposit""",741.58,crypto,
339,520,2024-07-19 03:52:49,"""deposit""",635.77,credit_card,
340,844,2025-02-25 07:05:47,"""deposit""",257.47,paypal,
341,344,2024-07-27 17:09:06,"""deposit""",874.43,crypto,
342,208,2024-09-18 06:25:47,"""deposit""",931.31,bank_transfer,
343,532,2024-06-28 01:33:21,"""deposit""",926.88,crypto,
344,624,2024-12-03 18:30:31,"""deposit""",376.95,bank_transfer,
345,111,2025-03-09 02:45:07,"""deposit""",745.17,crypto,
346,640,2024-05-18 13:04:28,"""deposit""",728.03,bank_transfer,
347,643,2024-12-22 05:18:13,"""refund""",645.67,paypal,
348,995,2024-05-12 08:09:46,"""bonus""",651.14,crypto,
349,907,2024-04-30 05:03:33,"""withdrawal""",903.64,paypal,
350,409,2025-02-25 10:39:27,"""deposit""",250.74,credit_card,
351,945,2025-01-04 13:45:48,"""refund""",639.39,bank_transfer,
352,374,2025-03-11 23:02:22,"""withdrawal""",304.0,credit_card,
353,345,2024-07-28 01:43:16,"""withdrawal""",356.82,bank_transfer,
354,453,2024-08-04 06:07:09,"""withdrawal""",145.97,paypal,
355,566,2024-10-12 01:36:10,"""withdrawal""",865.59,bank_transfer,
356,111,2024-05-31 20:31:31,"""deposit""",275.11,credit_card,
357,226,2024-11-05 21:40:28,"""deposit""",155.4,crypto,
358,253,2024-05-19 04:18:29,"""deposit""",802.3,bank_transfer,
359,540,2025-03-18 20:48:32,"""refund""",649.8,paypal,
360,12,2025-01-28 11:32:46,"""withdrawal""",512.96,paypal,
361,615,2024-06-25 11:52:15,"""deposit""",287.82,crypto,
362,645,2025-03-13 22:30:07,"""deposit""",253.51,crypto,
363,835,2024-10-21 07:25:19,"""withdrawal""",332.32,crypto,
364,975,2024-07-19 09:13:09,"""withdrawal""",13.54,bank_transfer,
365,116,2025-03-03 02:29:00,"""withdrawal""",83.66,paypal,
366,320,2024-04-22 10:39:40,"""bonus""",187.86,paypal,
367,950,2024-10-02 10:05:44,"""deposit""",1.92,credit_card,
368,701,2024-09-28 03:18:22,"""withdrawal""",476.58,crypto,
369,650,2024-08-03 22:35:21,"""refund""",996.49,crypto,
370,289,2024-12-06 13:20:07,"""deposit""",919.35,credit_card,
371,654,2024-04-29 20:07:24,"""deposit""",800.91,bank_transfer,
372,646,2024-10-29 16:25:00,"""withdrawal""",667.38,bank_transfer,
373,860,2024-05-23 03:09:26,"""deposit""",946.8,crypto,
374,424,2024-04-27 07:19:24,"""deposit""",7.8,credit_card,
375,664,2024-06-13 23:29:39,"""deposit""",637.17,credit_card,
376,790,2024-12-23 20:35:22,"""deposit""",384.4,paypal,
377,689,2024-05-24 23:44:55,"""bonus""",452.94,credit_card,
378,159,2024-04-20 12:27:15,"""withdrawal""",78.18,bank_transfer,
379,371,2024-10-15 11:29:45,"""withdrawal""",547.39,paypal,
380,284,2025-01-12 01:52:12,"""refund""",286.68,credit_card,
381,37,2025-04-02 14:56:05,"""refund""",605.78,credit_card,
382,810,2024-08-09 11:02:13,"""refund""",690.62,credit_card,
383,327,2024-04-17 01:08:51,"""bonus""",855.21,crypto,
384,574,2024-11-18 14:16:33,"""deposit""",886.1,bank_transfer,
385,364,2024-06-23 04:22:03,"""deposit""",664.43,bank_transfer,
386,227,2024-12-04 17:55:21,"""refund""",66.78,credit_card,
387,781,2025-01-14 12:26:50,"""bonus""",262.09,paypal,
388,797,2025-03-23 12:28:19,"""deposit""",615.15,bank_transfer,
389,831,2024-06-21 16:32:26,"""deposit""",482.26,credit_card,
390,71,2025-03-13 09:27:55,"""deposit""",624.82,paypal,
391,98,2024-12-18 06:10:31,"""withdrawal""",519.32,credit_card,
392,258,2024-07-06 22:32:28,"""deposit""",354.93,crypto,
393,513,2024-10-30 09:30:22,"""deposit""",904.68,bank_transfer,
394,634,2024-11-26 02:10:22,"""deposit""",448.86,bank_transfer,
395,668,2024-06-20 10:37:19,"""withdrawal""",368.92,bank_transfer,
396,781,2024-12-24 04:30:27,"""deposit""",641.99,paypal,
397,982,2024-06-24 18:08:01,"""deposit""",599.43,bank_transfer,
398,333,2025-02-19 09:50:13,"""deposit""",977.03,paypal,
399,517,2024-08-15 15:26:26,"""bonus""",292.01,crypto,
400,942,2025-04-07 09:38:59,"""bonus""",23.88,credit_card,
401,440,2024-10-26 07:32:12,"""bonus""",634.62,crypto,
402,300,2025-01-07 16:48:29,"""withdrawal""",65.36,paypal,
403,734,2024-12-11 04:33:21,"""deposit""",260.65,bank_transfer,
404,112,2024-10-08 10:40:41,"""withdrawal""",336.21,paypal,
