bet_id,player_id,bet_time,game_type,bet_amount,win_amount
54,369,2025-02-08 01:58:04,Sports Betting,973.24,0.0
55,152,2024-12-04 02:38:50,Sports Betting,701.15,0.0
56,544,2025-03-08 18:12:36,Slots,179.68,0.0
57,339,2025-01-10 00:19:28,Slots,624.86,0.0
58,445,2024-06-21 17:15:04,Table Games,252.63,378.94
59,376,2024-09-27 20:15:58,Sports Betting,583.79,1167.58
60,385,2024-08-15 15:24:21,Table Games,718.39,0.0
61,62,2025-03-07 06:04:39,Table Games,146.92,0.0
62,895,2024-05-26 19:55:41,Live Casino,252.01,504.02
63,289,2024-10-26 22:16:11,Live Casino,505.31,1010.62
64,580,2025-01-04 07:10:54,Live Casino,607.17,0.0
65,749,2025-02-15 16:21:45,Sports Betting,968.37,0.0
66,464,2024-10-13 23:01:58,Sports Betting,819.03,819.03
67,540,2025-04-02 23:15:08,Live Casino,424.06,848.12
68,549,2024-10-19 14:03:40,Table Games,440.0,880.0
69,980,2025-03-16 09:54:46,Sports Betting,772.09,0.0
70,336,2024-12-04 21:54:45,Slots,391.44,782.88
71,689,2024-11-05 02:46:17,Sports Betting,-472.68,0.0
72,995,2025-01-22 06:32:47,Slots,392.31,784.62
73,417,2025-04-04 06:10:51,Slots,342.54,0.0
74,629,2024-12-02 13:01:30,Slots,817.5,1226.25
75,232,2025-02-11 09:15:54,Sports Betting,537.96,0.0
76,796,2024-06-09 06:14:52,Table Games,348.43,696.86
77,898,2024-08-28 01:38:40,Live Casino,604.58,3022.9
78,927,2024-10-24 16:11:21,Table Games,941.58,1412.37
79,189,2024-11-20 12:20:00,Slots,553.47,2767.35
80,920,2024-10-21 18:10:03,Slots,461.63,0.0
81,752,2025-02-02 16:42:28,Slots,649.49,0.0
82,720,2025-04-04 06:53:15,Slots,80.38,0.0
83,902,2025-03-10 08:10:37,Slots,10.58,15.87
84,34,2024-11-16 07:25:52,Live Casino,223.1,0.0
85,890,2025-01-03 10:06:16,Sports Betting,511.35,0.0
86,497,2025-03-15 07:16:00,Table Games,74.88,0.0
87,231,2025-01-29 22:59:52,Live Casino,725.95,0.0
88,879,2024-05-26 10:07:57,Slots,528.1,0.0
89,207,2024-09-12 13:02:10,Sports Betting,249.84,499.68
90,836,2024-05-21 23:34:36,Table Games,974.74,0.0
91,13,2024-07-06 06:34:20,Live Casino,376.49,1882.45
92,733,2024-04-24 01:08:55,Live Casino,487.8,0.0
93,982,2024-10-02 02:51:49,Live Casino,760.49,0.0
94,878,2025-03-04 20:57:25,Sports Betting,380.15,570.22
95,717,2024-10-04 15:44:16,Slots,656.17,656.17
96,96,2025-03-10 20:46:14,Sports Betting,618.8,928.2
97,476,2024-05-06 04:06:02,Table Games,941.31,0.0
98,169,2024-11-24 02:01:01,Sports Betting,475.5,0.0
99,762,2024-08-24 07:21:24,Table Games,941.09,1411.63
100,17,2024-11-09 07:18:53,Sports Betting,861.98,0.0
101,559,2024-06-02 20:50:22,Live Casino,565.09,565.09
102,859,2024-05-30 05:31:31,Table Games,91.21,0.0
103,764,2024-10-17 09:45:51,Table Games,226.27,1131.35
104,450,2024-04-18 10:41:30,Sports Betting,459.69,0.0
105,699,2024-11-19 19:19:44,Table Games,845.88,845.88
106,899,2025-03-20 07:43:34,Live Casino,770.33,0.0
107,691,2024-09-01 15:02:57,Slots,627.48,0.0
108,453,2025-03-25 13:34:16,Live Casino,423.89,847.78
109,627,2025-03-20 21:08:28,Live Casino,862.97,0.0
110,925,2025-04-07 19:04:11,Table Games,193.85,387.7
111,584,2024-06-19 18:16:20,Slots,646.83,0.0
112,799,2024-12-21 13:34:39,Slots,529.46,0.0
113,941,2024-12-23 07:06:49,Live Casino,444.74,0.0
114,165,2024-11-27 20:06:39,Table Games,242.35,0.0
115,181,2024-10-26 14:13:46,Table Games,320.79,0.0
116,927,2025-02-03 16:07:58,Slots,262.63,0.0
117,534,2024-08-14 04:15:49,Live Casino,225.38,1126.9
118,464,2025-03-05 06:18:01,Sports Betting,594.98,892.47
119,26,2024-04-11 05:12:14,Slots,806.22,1209.33
120,54,2024-10-20 02:04:49,Live Casino,613.6,0.0
121,316,2025-03-02 05:54:42,Slots,273.28,273.28
122,144,2024-08-28 03:22:21,Live Casino,686.4,0.0
123,69,2025-03-14 07:01:22,Table Games,171.34,856.7
124,565,2025-01-20 20:12:29,Slots,646.13,0.0
125,444,2024-07-03 18:22:07,Table Games,629.72,0.0
126,370,2025-03-10 23:17:27,Slots,485.33,970.66
127,600,2024-06-29 22:49:53,Live Casino,154.4,154.4
128,258,2024-12-15 21:57:10,Live Casino,740.33,1480.66
129,113,2024-05-24 14:22:36,Table Games,487.12,0.0
130,135,2025-02-23 05:39:53,Slots,952.16,4760.8
131,951,2025-02-14 11:43:43,Slots,89.12,89.12
132,996,2024-10-21 16:54:26,Sports Betting,809.36,0.0
133,679,2024-04-18 01:19:35,Table Games,386.48,0.0
134,747,2024-04-29 22:06:36,Table Games,551.81,0.0
135,416,2024-06-07 03:51:44,Table Games,620.7,1241.4
136,208,2025-01-27 02:58:10,Live Casino,879.69,1319.54
137,223,2025-01-06 09:41:58,Slots,969.83,0.0
138,796,2024-07-02 00:58:53,Sports Betting,79.43,397.15
139,523,2024-04-14 00:25:26,Slots,194.13,970.65
140,22,2024-06-29 21:04:46,Table Games,253.82,0.0
141,507,2024-10-08 12:56:21,Live Casino,322.8,645.6
142,583,2024-05-09 15:22:53,Slots,745.22,0.0
143,411,2025-01-20 20:27:27,Slots,880.81,0.0
144,423,2025-01-16 15:46:23,Live Casino,117.59,176.38
145,874,2024-08-01 09:43:20,Table Games,197.24,986.2
146,151,2024-05-16 00:30:31,Sports Betting,421.61,0.0
147,996,2024-05-26 08:13:09,Table Games,211.97,0.0
148,668,2024-12-12 00:49:04,Table Games,890.99,0.0
149,158,2024-11-21 10:00:27,Sports Betting,903.45,0.0
150,222,2024-09-19 13:20:45,Slots,148.49,0.0
151,87,2024-11-12 08:00:01,Slots,692.6,1385.2
152,56,2024-05-06 17:57:15,Table Games,370.29,370.29
153,370,2025-04-03 00:08:21,Live Casino,384.41,0.0
154,739,2024-05-13 21:43:39,Sports Betting,849.05,0.0
155,666,2025-01-18 05:06:46,Sports Betting,94.44,141.66
156,334,2024-08-22 09:16:52,Live Casino,971.53,1943.06
157,1,2025-02-27 06:40:07,Table Games,448.47,448.47
158,646,2024-12-07 14:44:04,Sports Betting,411.45,0.0
159,385,2024-08-25 10:16:23,Sports Betting,147.63,147.63
160,816,2024-09-02 18:11:06,Slots,294.88,589.76
161,813,2024-05-20 20:21:17,Live Casino,68.46,0.0
162,194,2025-03-08 07:57:13,Table Games,958.09,1437.13
163,803,2024-12-08 16:44:24,Table Games,942.06,0.0
164,212,2025-02-12 14:59:20,Slots,585.2,0.0
165,542,2024-12-08 20:02:04,Live Casino,513.9,770.85
166,583,2024-11-30 18:19:34,Live Casino,548.5,0.0
167,506,2025-02-21 20:29:14,Table Games,48.94,48.94
168,679,2024-12-06 08:36:06,Sports Betting,715.83,1073.75
169,194,2024-10-08 20:18:24,Live Casino,531.97,2659.85
170,118,2024-08-27 06:38:20,Sports Betting,890.55,0.0
171,441,2024-05-23 14:12:14,Sports Betting,767.23,0.0
172,107,2024-12-15 22:58:20,Sports Betting,183.17,366.34
173,767,2024-12-19 13:18:44,Slots,593.29,0.0
174,140,2024-10-25 03:40:23,Slots,538.75,2693.75
175,163,2024-07-23 10:10:18,Sports Betting,708.14,1416.28
176,692,2024-10-29 12:46:12,Sports Betting,263.91,0.0
177,15,2025-02-22 17:22:15,Slots,425.45,0.0
178,72,2024-07-05 15:49:20,Live Casino,212.84,0.0
179,824,2024-10-31 15:04:34,Sports Betting,309.15,618.3
180,545,2025-01-27 01:17:40,Table Games,635.98,0.0
181,60,2024-08-26 20:35:11,Live Casino,417.0,834.0
182,941,2025-01-19 21:36:06,Slots,407.59,407.59
183,477,2024-06-08 20:46:03,Live Casino,942.0,1884.0
184,141,2024-08-19 15:35:56,Slots,332.3,1661.5
185,540,2024-10-22 17:46:03,Sports Betting,786.19,1572.38
186,806,2024-06-05 04:53:28,Slots,592.6,888.9
187,805,2024-11-03 06:01:01,Sports Betting,713.67,0.0
188,966,2024-07-18 10:09:24,Table Games,546.81,0.0
189,19,2024-06-26 23:36:22,Sports Betting,19.38,0.0
190,740,2025-01-25 06:09:49,Live Casino,650.35,975.53
191,440,2024-04-11 17:36:42,Table Games,313.56,0.0
192,607,2025-01-20 09:16:22,Slots,28.25,42.38
193,536,2025-01-09 08:35:42,Table Games,570.91,0.0
194,783,2024-10-14 12:18:37,Table Games,544.18,816.27
195,276,2025-03-17 02:50:14,Table Games,747.03,747.03
196,408,2025-04-06 12:10:15,Live Casino,122.62,0.0
197,523,2024-05-03 06:22:19,Live Casino,613.82,1227.64
198,553,2024-04-24 19:39:27,Live Casino,53.58,80.37
199,819,2024-08-23 20:29:52,Table Games,596.63,596.63
200,538,2024-06-03 21:48:51,Table Games,655.63,3278.15
201,355,2024-12-04 11:10:28,Sports Betting,-630.84,0.0
202,150,2024-06-25 23:11:45,Table Games,381.73,0.0
203,952,2024-06-15 05:29:15,Slots,495.75,991.5
204,516,2024-04-14 08:53:11,Slots,330.64,0.0
205,94,2025-03-29 02:25:19,Slots,726.59,0.0
206,231,2024-05-13 11:41:01,Slots,72.28,108.42
207,375,2024-12-14 04:00:32,Live Casino,53.5,0.0
208,29,2024-07-17 01:20:39,Slots,667.32,667.32
209,82,2025-03-26 13:55:36,Slots,783.1,0.0
210,498,2024-05-09 21:54:54,Table Games,710.57,1065.86
211,699,2024-06-18 19:05:14,Table Games,206.0,0.0
212,478,2024-09-03 00:23:58,Table Games,79.88,399.4
213,152,2025-01-19 01:06:27,Slots,283.62,0.0
214,510,2024-10-12 22:07:28,Live Casino,300.48,300.48
215,578,2025-03-11 10:36:50,Live Casino,531.69,1063.38
216,380,2024-12-02 05:28:28,Sports Betting,117.57,235.14
217,432,2024-06-28 16:41:26,Table Games,874.21,0.0
218,373,2024-08-11 23:42:18,Slots,255.51,0.0
219,871,2025-01-27 23:30:46,Sports Betting,-767.83,0.0
220,790,2024-12-31 12:30:02,Slots,100.72,503.6
221,526,2024-11-18 12:00:58,Live Casino,827.58,0.0
222,648,2024-07-31 21:17:58,Slots,528.92,2644.6
223,423,2025-02-12 21:15:39,Live Casino,402.36,0.0
224,439,2024-11-29 04:11:35,Table Games,38.57,57.86
225,632,2024-06-18 13:51:38,Sports Betting,731.14,731.14
226,567,2024-12-21 17:06:39,Table Games,615.83,923.75
227,917,2024-04-16 13:36:00,Sports Betting,974.43,0.0
228,256,2024-09-17 16:05:41,Slots,44.37,88.74
229,979,2025-02-08 06:00:21,Slots,114.22,571.1
230,432,2024-06-01 15:19:25,Sports Betting,754.45,0.0
231,264,2024-06-13 22:49:41,Sports Betting,441.28,2206.4
232,933,2024-05-16 18:49:23,Table Games,591.8,591.8
233,222,2024-10-24 15:27:47,Slots,83.83,419.15
234,626,2025-01-02 03:38:52,Slots,973.41,0.0
235,956,2024-09-08 05:14:33,Sports Betting,731.78,1463.56
236,823,2024-05-10 10:01:11,Slots,410.54,0.0
237,638,2025-03-17 05:41:36,Sports Betting,828.0,0.0
238,165,2024-10-05 20:23:24,Slots,614.74,614.74
239,686,2024-08-18 21:49:44,Slots,299.94,0.0
240,698,2024-07-23 20:49:42,Live Casino,756.5,1134.75
241,947,2024-08-29 11:28:47,Table Games,440.32,0.0
242,751,2024-07-07 17:12:09,Sports Betting,369.05,0.0
243,149,2025-01-01 12:44:19,Slots,667.84,1001.76
244,632,2024-09-01 08:56:16,Table Games,1.1,0.0
245,89,2025-02-16 10:37:07,Table Games,684.64,684.64
246,135,2025-02-25 21:48:31,Sports Betting,205.88,0.0
247,651,2024-04-14 22:40:09,Slots,982.13,0.0
248,760,2024-05-14 02:07:29,Live Casino,233.12,1165.6
249,235,2025-02-28 19:28:05,Live Casino,885.06,0.0
250,952,2024-09-03 03:10:52,Live Casino,81.09,0.0
251,679,2025-01-15 01:18:06,Sports Betting,147.39,147.39
252,846,2024-12-31 03:12:36,Table Games,268.03,0.0
253,435,2024-06-30 09:44:49,Slots,715.28,3576.4
254,609,2024-10-06 13:10:04,Sports Betting,523.7,523.7
255,580,2024-04-25 21:41:55,Table Games,979.3,0.0
256,901,2024-04-22 19:03:40,Table Games,407.95,0.0
257,241,2024-10-10 19:13:24,Slots,973.83,4869.15
258,310,2025-03-28 06:40:40,Slots,184.8,277.2
259,341,2024-05-27 15:49:07,Sports Betting,582.76,2913.8
260,30,2025-01-06 08:24:40,Slots,320.23,640.46
261,299,2024-06-04 09:36:48,Sports Betting,-141.54,212.31
262,200,2024-09-27 07:59:59,Table Games,6.19,0.0
263,281,2024-05-31 09:11:56,Sports Betting,543.05,0.0
264,434,2025-01-26 16:04:45,Table Games,552.1,828.15
265,514,2024-08-31 22:17:26,Live Casino,780.36,1560.72
266,594,2024-06-07 18:44:48,Table Games,343.24,0.0
267,124,2024-07-21 12:56:20,Live Casino,137.34,137.34
268,38,2024-11-16 14:12:12,Table Games,618.15,3090.75
269,509,2024-04-24 21:15:52,Live Casino,902.86,1805.72
270,736,2025-03-06 06:11:59,Sports Betting,337.32,337.32
271,998,2024-10-22 09:23:47,Live Casino,208.25,312.38
272,759,2024-06-27 18:09:26,Slots,265.14,1325.7
273,567,2024-07-24 05:48:22,Table Games,171.26,342.52
274,635,2024-08-07 14:31:04,Table Games,365.0,1825.0
275,592,2024-05-09 03:05:34,Slots,859.1,4295.5
276,433,2024-08-29 19:18:12,Sports Betting,596.79,895.18
277,196,2024-11-16 15:51:50,Slots,948.96,0.0
278,532,2025-01-19 22:56:20,Live Casino,236.07,0.0
279,105,2025-03-20 02:02:58,Table Games,205.2,1026.0
280,496,2024-11-27 05:37:48,Live Casino,868.27,0.0
281,487,2024-10-30 16:12:07,Live Casino,295.64,295.64
282,832,2024-05-24 08:54:22,Slots,531.91,0.0
283,90,2024-07-03 23:18:16,Slots,547.56,821.34
284,710,2025-02-19 19:52:09,Sports Betting,868.1,4340.5
285,438,2024-11-06 14:21:09,Live Casino,474.53,0.0
286,878,2024-09-10 19:14:25,Sports Betting,46.84,0.0
287,635,2025-02-13 01:57:58,Live Casino,421.5,2107.5
288,678,2024-10-21 15:07:32,Slots,407.21,0.0
289,868,2025-01-14 02:30:39,Slots,177.16,177.16
290,445,2024-11-09 20:28:32,Table Games,902.1,1353.15
291,49,2025-02-11 11:32:41,Sports Betting,371.61,557.41
292,119,2024-06-13 23:46:19,Sports Betting,395.58,0.0
293,44,2024-09-01 13:24:03,Slots,627.93,0.0
294,115,2025-03-01 04:32:45,Table Games,439.03,0.0
295,930,2024-12-03 01:30:44,Sports Betting,581.25,0.0
296,304,2024-11-15 11:25:43,Slots,952.09,1904.18
297,589,2024-04-19 08:48:47,Slots,979.65,0.0
298,613,2024-08-23 06:50:21,Sports Betting,979.87,0.0
299,964,2024-10-27 11:35:19,Live Casino,296.41,444.62
300,713,2025-04-04 04:41:44,Slots,58.14,87.21
301,923,2024-06-02 10:13:37,Live Casino,230.01,460.02
302,722,2024-12-09 22:43:57,Slots,49.41,247.05
303,437,2025-02-10 12:01:51,Sports Betting,222.46,444.92
304,859,2024-05-17 04:40:01,Table Games,525.08,1050.16
305,661,2024-05-25 09:46:14,Sports Betting,-900.12,0.0
306,534,2024-07-01 16:54:09,Table Games,575.0,0.0
307,289,2024-04-09 10:56:39,Live Casino,163.41,163.41
308,804,2024-05-27 08:34:10,Sports Betting,999.08,4995.4
309,868,2024-12-14 02:46:55,Sports Betting,55.61,0.0
310,835,2025-03-17 11:20:04,Table Games,121.58,182.37
311,861,2025-02-08 15:35:52,Table Games,484.28,0.0
312,204,2024-10-23 03:11:02,Table Games,589.03,589.03
313,674,2024-07-31 10:44:02,Sports Betting,896.24,0.0
314,258,2025-02-20 20:43:22,Table Games,922.12,1844.24
315,313,2024-06-04 15:28:56,Live Casino,191.39,0.0
316,494,2024-06-24 09:18:24,Slots,179.73,359.46
317,829,2024-10-02 21:46:56,Table Games,813.73,0.0
318,587,2025-03-13 09:43:11,Table Games,987.7,0.0
319,318,2024-08-15 22:09:18,Live Casino,234.26,0.0
320,101,2025-04-08 09:56:57,Table Games,355.15,355.15
321,178,2024-08-19 04:51:47,Slots,997.22,0.0
322,398,2025-02-02 13:14:39,Sports Betting,21.37,42.74
323,472,2024-12-10 16:58:13,Live Casino,856.26,4281.3
324,18,2024-06-21 11:22:45,Table Games,908.58,908.58
325,903,2024-11-11 03:33:25,Live Casino,508.11,0.0
326,152,2024-05-04 07:23:12,Live Casino,122.32,183.48
327,23,2024-05-28 05:08:51,Live Casino,714.8,0.0
328,861,2024-05-14 05:58:15,Slots,697.01,3485.05
329,294,2025-03-11 04:26:59,Slots,518.44,0.0
330,776,2024-07-01 16:14:07,Live Casino,84.21,168.42
331,635,2024-12-20 12:37:31,Slots,534.69,802.04
332,625,2024-10-23 11:40:44,Slots,769.59,1539.18
333,525,2024-06-25 20:33:37,Live Casino,149.34,746.7
334,464,2024-07-15 18:27:29,Live Casino,143.62,0.0
335,324,2024-08-23 01:08:00,Sports Betting,551.45,827.18
336,260,2024-10-04 13:18:26,Sports Betting,628.33,0.0
337,437,2024-05-04 23:46:44,Table Games,558.44,837.66
338,483,2024-04-12 06:01:09,Sports Betting,70.11,350.55
339,782,2024-12-13 07:40:54,Sports Betting,347.33,0.0
340,310,2024-12-04 01:36:11,Slots,822.32,1644.64
341,29,2024-04-19 08:32:48,Sports Betting,249.08,0.0
342,823,2024-12-15 03:20:31,Live Casino,506.89,2534.45
343,973,2025-01-18 09:35:09,Slots,758.51,0.0
344,457,2025-03-26 16:50:54,Table Games,82.4,0.0
345,466,2024-05-23 07:25:08,Table Games,657.94,657.94
346,501,2024-08-20 19:56:19,Slots,136.52,0.0
347,878,2024-07-12 08:08:04,Sports Betting,201.25,0.0
348,454,2024-12-15 00:21:37,Table Games,120.65,0.0
349,71,2024-11-11 09:18:35,Sports Betting,332.3,0.0
350,248,2024-04-28 10:02:04,Sports Betting,517.34,0.0
351,370,2024-07-31 06:03:18,Live Casino,800.6,0.0
352,193,2024-07-20 04:06:18,Slots,588.33,1176.66
353,680,2024-12-01 16:45:57,Sports Betting,853.79,1280.68
354,330,2024-07-06 04:15:49,Table Games,372.58,0.0
355,643,2024-10-12 03:06:09,Live Casino,454.05,908.1
356,920,2024-05-24 10:56:41,Sports Betting,802.93,0.0
357,857,2024-07-07 09:27:14,Table Games,720.99,0.0
358,713,2025-03-08 17:03:09,Slots,-3.7,0.0
359,710,2025-02-09 22:20:04,Live Casino,300.22,300.22
360,33,2025-01-20 09:09:22,Sports Betting,822.15,1233.22
361,105,2024-08-08 17:30:30,Sports Betting,-827.59,1241.38
362,371,2025-02-22 09:33:37,Sports Betting,627.34,0.0
363,224,2024-08-31 08:50:02,Slots,783.35,3916.75
364,529,2024-07-24 14:38:52,Live Casino,210.96,0.0
365,154,2024-07-26 03:18:09,Slots,465.48,0.0
366,835,2024-07-20 14:18:20,Sports Betting,963.75,4818.75
367,440,2024-12-08 17:04:03,Sports Betting,323.03,484.54
368,365,2024-06-14 16:10:22,Sports Betting,214.09,428.18
369,405,2024-11-26 18:51:55,Sports Betting,212.89,0.0
370,305,2024-06-13 02:51:47,Live Casino,382.66,1913.3
371,738,2024-12-04 08:17:07,Slots,870.24,0.0
372,122,2024-11-17 03:25:20,Table Games,70.74,0.0
373,568,2024-10-23 07:49:56,Sports Betting,442.44,663.66
374,566,2024-10-07 13:22:45,Sports Betting,-747.71,0.0
375,178,2024-10-02 19:44:53,Sports Betting,317.9,1589.5
376,639,2024-12-13 11:42:42,Table Games,622.43,622.43
377,781,2025-02-22 20:06:07,Table Games,358.98,1794.9
378,702,2024-11-21 14:36:09,Live Casino,603.94,1207.88
379,908,2025-03-03 05:14:37,Sports Betting,715.81,0.0
380,296,2025-03-21 08:34:45,Table Games,52.0,0.0
381,832,2024-07-22 08:25:00,Live Casino,588.95,883.43
382,546,2024-07-21 07:23:11,Live Casino,24.55,0.0
383,655,2024-07-06 06:21:50,Sports Betting,18.96,37.92
384,515,2025-03-12 21:56:20,Table Games,941.07,0.0
385,993,2024-10-22 06:51:23,Live Casino,418.59,0.0
386,340,2024-08-05 08:28:12,Table Games,-574.4,2872.0
387,460,2024-08-23 03:29:12,Slots,761.1,761.1
388,618,2024-12-02 01:57:36,Table Games,85.09,170.18
389,256,2025-03-03 08:44:02,Sports Betting,722.03,0.0
390,67,2024-11-26 15:39:31,Table Games,872.64,0.0
391,584,2024-09-06 01:15:52,Live Casino,340.35,0.0
392,941,2024-11-24 20:46:59,Sports Betting,881.04,0.0
393,768,2024-05-29 11:09:08,Table Games,44.6,223.0
394,555,2024-09-21 16:58:29,Slots,621.13,621.13
395,955,2024-08-14 19:55:42,Live Casino,930.7,4653.5
396,281,2024-11-12 10:25:21,Live Casino,238.96,1194.8
397,133,2024-10-14 04:55:57,Slots,-845.28,0.0
398,459,2024-09-10 08:52:36,Slots,611.05,611.05
399,815,2024-07-23 13:03:12,Sports Betting,174.08,174.08
400,745,2024-10-21 09:14:49,Slots,913.23,0.0
401,589,2024-11-21 21:07:43,Slots,439.72,0.0
402,338,2024-10-24 14:57:36,Sports Betting,651.98,651.98
403,152,2024-08-11 02:01:24,Live Casino,464.27,696.4
404,35,2025-02-12 02:55:21,Live Casino,485.72,0.0
405,373,2025-01-28 18:26:02,Live Casino,952.63,1905.26
406,938,2024-06-11 08:35:12,Sports Betting,532.07,2660.35
407,486,2025-01-22 05:20:27,Sports Betting,238.81,0.0
408,161,2024-09-26 00:40:29,Sports Betting,636.41,636.41
409,482,2024-05-24 17:28:50,Live Casino,627.54,1255.08
410,633,2024-04-14 08:47:10,Live Casino,684.22,1368.44
411,232,2024-08-09 17:06:19,Sports Betting,933.13,1399.69
412,404,2024-11-13 14:27:22,Sports Betting,626.74,0.0
413,342,2024-10-14 21:16:59,Sports Betting,207.8,1039.0
414,727,2025-03-06 18:08:13,Sports Betting,571.14,571.14
415,344,2025-03-18 00:56:35,Table Games,711.75,0.0
416,555,2024-11-14 00:23:57,Live Casino,333.48,500.22
417,190,2024-10-07 23:59:52,Slots,20.39,30.59
418,147,2024-12-07 13:48:39,Slots,258.87,0.0
419,104,2024-05-12 02:42:10,Sports Betting,507.32,507.32
420,683,2024-08-06 06:39:40,Table Games,506.04,0.0
421,354,2024-12-16 19:54:27,Live Casino,995.31,0.0
422,603,2024-06-30 11:55:22,Table Games,849.18,4245.9
423,571,2024-09-02 06:31:25,Slots,345.69,0.0
424,430,2024-06-24 04:03:08,Sports Betting,229.78,0.0
425,612,2024-04-23 01:38:42,Live Casino,279.26,1396.3
426,561,2024-12-09 08:36:27,Live Casino,997.44,0.0
427,681,2024-10-06 00:27:10,Slots,747.5,1495.0
428,923,2024-08-13 20:59:01,Live Casino,544.25,816.38
429,588,2025-02-01 08:00:47,Table Games,940.57,940.57
430,600,2024-07-10 09:22:41,Sports Betting,607.52,607.52
431,570,2024-12-10 06:45:21,Sports Betting,772.13,772.13
432,141,2024-10-21 02:55:05,Live Casino,601.56,3007.8
433,350,2025-04-08 21:06:46,Table Games,819.67,0.0
434,239,2024-06-15 02:09:44,Table Games,461.5,0.0
435,240,2024-11-12 04:14:29,Table Games,478.38,956.76
436,397,2025-01-12 16:24:17,Slots,860.6,860.6
437,121,2024-11-09 14:36:26,Sports Betting,206.14,309.21
438,976,2024-12-25 07:45:03,Slots,761.77,3808.85
439,249,2025-02-10 15:16:05,Live Casino,137.65,688.25
440,500,2024-08-26 11:21:17,Table Games,786.42,3932.1
441,260,2025-02-07 14:29:16,Live Casino,186.57,932.85
442,616,2024-05-29 19:07:29,Live Casino,9.42,9.42
443,154,2025-02-27 08:24:00,Live Casino,752.54,3762.7
444,924,2024-08-26 01:29:16,Sports Betting,340.65,510.97
445,794,2024-07-29 04:28:43,Table Games,745.01,3725.05
446,26,2024-06-10 04:54:22,Slots,424.34,424.34
447,907,2024-07-05 08:47:54,Slots,567.6,567.6
448,944,2024-04-25 23:49:18,Slots,492.28,738.42
449,36,2025-04-01 03:55:20,Slots,807.5,1211.25
450,918,2025-03-04 14:12:15,Live Casino,807.54,807.54
451,999,2024-04-20 18:46:23,Live Casino,212.2,1061.0
452,238,2024-06-21 19:55:05,Sports Betting,726.05,0.0
453,295,2024-10-07 04:02:09,Live Casino,995.75,0.0
